estados,if,while,for,switch,int,char,bool,;,=,and,or,xor,not,(,),+,-,*,/,<,>,<=,>=,!=,==,{,},else,case,break,num,id,char,:,read,printf,"""",lambda,$,<program>,<inst>,<declaration>,<declaration2>,<atrib>,<atrib2>,<tipo>,<expr>,<binaria>,<unaria>,<unaria_term>,<termo>,<op>,<op_log>,<op_rel>,<op_arit>,<if>,<else>,<switch>,<case-loop>,<case>,<case2>,<for>,<attr_for>,<while>,<print>,<print2>,<read>
37,,,,,,,,,,,,,,,E59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,R21,,,,,,,R21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,R22,,,,,,,R22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,E65,E66,E64,,,,E73,E74,E76,E75,E67,E68,E69,E70,E72,E71,,,,,,,,,,,,,,,,,,,,,,,,,,,60,63,61,62,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E79,E78,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,E42,E43,,,E41,,,,,,,,,,,,,,E45,E44,,,,,,,,,,,,,,,81,38,39,,40,,,,,,,,,,,,,,,,
44,,,,,,,,R29,,R29,R29,R29,,,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,R30,,R30,R30,R30,,,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,E82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,E83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,E84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,E85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,R11,R11,R11,R11,R11,R11,R11,,,,,,,,,,,,,,,,,,,,,,,,,R11,,,R11,R11,,R11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,R12,R12,R12,R12,R12,R12,R12,,,,,,,,,,,,,,,,,,,,,,,,,R12,,,R12,R12,,R12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,E42,E43,,,E41,,,,,,,,,,,,,,E45,E44,,,,,,,,,,,,,,,86,38,39,,40,,,,,,,,,,,,,,,,
53,R14,R14,R14,R14,R14,R14,R14,,,,,,,,,,,,,,,,,,,,,,,,,R14,,,R14,R14,,R14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,E87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,E88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,E89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,R59,R59,R59,R59,R59,R59,R59,,,,,,,,,,,,,,,,,,,,,,,,,R59,,,R59,R59,,R59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E138,E137,E139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,
59,,,,,,,,,,,,,,,,,,,,,,,,,,E91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,E43,,,,,,,,,,,,,,,,,E45,E44,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,R32,,,,,,,,,,,,,,,,,R32,R32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,R33,,,,,,,,,,,,,,,,,R33,R33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,R31,,,,,,,,,,,,,,,,,R31,R31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,R35,,,,,,,,,,,,,,,,,R35,R35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,R36,,,,,,,,,,,,,,,,,R36,R36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,R34,,,,,,,,,,,,,,,,,R34,R34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,R37,,,,,,,,,,,,,,,,,R37,R37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,R38,,,,,,,,,,,,,,,,,R38,R38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
